rainfall,soil_moisture,slope_angle,vibration,pore_water_pressure,temperature,risk_score,risk_level
18.29,77.18,23.46,0.03,16.62,24.9,17.0,Safe
61.17,69.39,46.26,0.18,32.84,24.3,50.6,Watch
33.92,55.15,20.34,0.765,19.48,18.3,12.3,Safe
28.54,68.21,40.79,0.677,21.63,21.8,37.0,Watch
52.14,67.26,43.06,0.287,14.14,21.5,31.2,Safe
34.67,69.11,37.04,0.769,19.46,28.9,32.2,Safe
17.51,77.72,41.92,0.573,17.93,23.9,43.0,Watch
35.6,63.59,39.57,0.114,24.71,19.8,28.9,Safe
23.28,81.38,33.67,0.065,24.52,20.7,31.5,Safe
0.0,68.25,31.48,0.125,20.45,21.9,23.3,Safe
21.77,62.68,48.24,0.09,18.43,24.1,40.3,Watch
27.08,84.2,49.16,0.341,7.93,24.5,58.4,Watch
17.67,71.64,39.54,0.308,7.72,23.6,28.3,Safe
43.63,61.36,25.92,0.319,18.49,22.4,18.3,Safe
23.34,65.67,33.44,0.073,23.25,22.6,24.5,Safe
42.18,70.08,34.9,0.549,25.99,22.6,29.4,Safe
16.5,63.79,42.74,0.199,12.66,17.7,29.9,Safe
48.64,66.07,40.03,0.224,8.94,22.8,29.1,Safe
15.85,58.46,35.44,2.029,23.6,21.3,34.6,Safe
0.0,51.52,40.41,0.116,13.11,18.0,24.9,Safe
53.56,65.85,20.72,0.175,8.54,30.3,14.1,Safe
22.16,66.12,43.3,0.395,15.04,23.9,32.1,Safe
61.35,69.22,26.35,0.743,14.93,23.0,23.7,Safe
43.47,60.39,39.69,0.047,25.92,21.9,34.5,Safe
46.85,54.28,23.42,0.465,23.19,25.2,14.3,Safe
50.68,57.28,23.43,0.877,13.58,19.5,17.9,Safe
36.69,73.45,21.07,0.192,26.39,22.1,16.6,Safe
36.86,59.67,47.31,0.118,18.75,20.1,41.0,Watch
54.22,61.46,38.14,0.396,24.37,25.2,39.0,Watch
36.67,62.5,30.86,0.099,25.96,20.5,24.2,Safe
24.08,60.05,43.63,0.17,16.42,26.3,29.7,Safe
43.79,59.45,38.78,0.795,21.43,22.7,31.7,Safe
3.3,58.03,38.6,0.312,15.56,25.3,27.7,Safe
54.79,76.21,34.61,0.035,23.58,24.2,39.7,Watch
55.11,70.44,20.24,0.14,18.54,26.2,14.1,Safe
52.97,74.98,27.75,0.345,23.76,20.2,25.1,Safe
52.4,76.59,23.27,0.23,27.15,25.7,22.4,Safe
33.74,46.2,39.87,0.378,21.28,17.4,29.1,Safe
33.4,67.75,27.46,0.502,17.44,23.1,16.6,Safe
16.56,60.31,33.5,0.229,17.54,21.4,23.5,Safe
61.22,73.93,30.6,1.519,0.26,18.8,32.6,Safe
27.72,59.07,24.3,0.861,13.72,20.3,16.9,Safe
40.1,56.57,48.75,0.022,23.6,21.1,41.5,Watch
38.81,53.53,48.0,0.108,23.82,22.4,39.7,Watch
14.89,62.58,22.54,0.125,13.59,21.4,12.9,Safe
8.83,72.32,44.82,0.071,18.99,23.2,37.3,Watch
35.08,67.05,34.65,0.131,16.86,20.5,27.7,Safe
28.19,55.38,43.21,0.194,22.14,21.6,29.1,Safe
33.66,82.22,24.53,0.019,31.25,22.1,27.5,Safe
50.98,70.2,23.97,0.048,22.25,23.5,19.8,Safe
38.37,71.22,46.72,0.035,13.98,25.5,39.5,Watch
46.38,75.28,46.93,0.017,17.53,25.6,48.3,Watch
41.68,51.88,33.98,0.23,26.41,23.7,25.4,Safe
30.25,57.71,46.1,0.142,9.55,24.3,35.8,Watch
19.97,71.58,40.02,0.959,14.31,23.9,28.1,Safe
38.97,58.51,25.55,0.038,22.26,22.1,18.2,Safe
36.26,62.8,29.87,0.911,25.77,25.7,26.3,Safe
48.73,64.38,24.08,0.032,21.65,20.3,17.5,Safe
32.74,54.78,43.22,0.338,14.36,16.9,29.8,Safe
30.54,62.11,49.56,0.1,21.22,19.9,37.9,Watch
31.56,72.32,36.39,0.614,20.49,27.2,36.9,Watch
21.22,70.84,39.68,0.022,20.1,22.1,31.1,Safe
56.7,73.9,42.38,1.067,17.42,23.8,48.6,Watch
52.09,73.08,26.73,0.017,18.32,22.2,22.6,Safe
16.8,68.25,30.08,0.097,12.56,24.7,19.1,Safe
47.06,67.61,32.37,0.218,32.88,23.2,29.7,Safe
7.32,67.03,37.84,0.494,18.94,22.8,30.3,Safe
49.78,59.98,45.51,1.056,21.29,24.8,47.3,Watch
24.55,56.76,27.63,0.196,16.69,21.6,18.2,Safe
40.4,59.48,34.13,0.496,23.07,24.1,30.7,Safe
6.06,62.39,42.55,0.455,10.21,22.5,31.2,Safe
17.02,59.75,22.62,0.296,7.53,22.7,12.2,Safe
42.03,68.31,35.39,0.411,17.82,20.5,28.0,Safe
24.49,66.62,24.33,0.014,30.32,22.4,17.7,Safe
22.4,67.47,36.17,0.204,25.25,21.4,26.7,Safe
55.94,67.81,43.03,0.539,13.15,26.4,38.7,Watch
68.16,74.57,27.11,0.225,21.1,17.9,24.9,Safe
49.06,64.93,45.48,0.724,14.18,25.7,41.6,Watch
18.62,73.07,30.04,0.628,20.56,17.8,26.4,Safe
61.45,69.13,25.72,0.697,21.03,24.6,21.3,Safe
11.58,74.04,33.96,0.049,23.56,20.5,19.5,Safe
30.43,77.92,46.28,0.098,8.61,24.7,48.0,Watch
35.82,69.61,22.07,0.011,10.41,22.6,12.9,Safe
63.86,65.83,29.83,1.422,17.55,18.7,29.9,Safe
48.69,65.78,39.59,0.094,11.81,27.1,30.1,Safe
28.04,61.24,30.73,0.16,11.34,25.3,15.0,Safe
20.83,60.97,22.12,0.113,19.63,24.5,10.4,Safe
50.03,72.22,29.96,0.014,12.5,21.1,23.9,Safe
27.0,57.29,44.63,0.106,31.55,25.4,37.5,Watch
38.25,77.92,49.04,0.036,14.8,19.2,51.0,Watch
14.45,63.79,21.19,0.175,16.38,16.3,6.9,Safe
43.54,87.9,37.08,1.192,19.79,18.3,51.5,Watch
42.33,59.46,23.16,0.419,8.95,20.2,14.4,Safe
16.38,67.0,40.41,0.43,21.05,20.7,37.7,Watch
50.47,62.19,20.24,0.211,20.05,21.7,14.5,Safe
43.32,58.66,20.44,0.584,15.9,21.8,17.6,Safe
46.1,73.51,43.31,0.836,19.64,21.1,40.9,Watch
29.32,56.16,22.23,1.14,20.57,16.7,12.8,Safe
37.68,59.59,29.16,0.036,26.61,23.6,20.9,Safe
35.95,69.69,48.74,0.741,33.0,22.2,52.2,Watch
32.78,70.96,49.56,0.089,11.63,20.9,43.1,Watch
37.56,53.86,24.84,0.177,10.22,27.2,15.3,Safe
53.85,69.65,36.83,0.148,18.62,22.3,37.9,Watch
51.12,66.03,36.77,0.394,5.53,23.2,29.9,Safe
17.27,57.66,33.57,0.319,21.9,25.4,22.5,Safe
49.78,58.69,47.74,0.04,18.68,18.5,41.3,Watch
52.87,48.73,42.62,0.534,20.2,22.9,34.6,Safe
32.73,78.74,42.94,0.203,16.18,25.4,44.6,Watch
42.63,73.12,28.09,0.01,19.53,22.7,23.8,Safe
42.41,54.69,33.03,0.187,20.83,19.1,28.2,Safe
22.25,71.39,34.62,0.254,19.2,21.6,25.6,Safe
29.27,60.41,28.97,0.025,9.93,23.6,17.2,Safe
46.26,72.32,22.84,0.057,19.03,16.7,14.4,Safe
27.56,61.03,23.79,1.766,29.12,18.9,24.7,Safe
49.63,62.09,25.42,0.717,19.45,28.9,21.3,Safe
54.57,62.69,26.11,0.05,18.82,24.5,17.1,Safe
52.16,59.74,27.27,0.304,27.36,27.5,11.6,Safe
64.7,76.19,27.66,0.167,13.53,25.6,23.2,Safe
33.64,72.19,33.67,0.275,23.34,24.2,26.4,Safe
37.66,65.88,35.29,0.223,14.82,22.1,25.8,Safe
39.81,73.2,29.27,0.017,24.52,24.1,19.8,Safe
34.09,51.98,47.22,0.133,22.79,27.3,35.6,Watch
43.13,55.17,36.59,0.047,15.53,25.5,30.0,Safe
9.33,68.8,43.62,0.235,16.4,23.5,30.4,Safe
38.07,70.88,47.73,0.832,23.87,22.5,42.9,Watch
14.34,67.24,24.89,1.894,6.87,24.5,16.6,Safe
20.56,49.94,32.84,1.01,15.35,21.4,20.2,Safe
45.99,56.5,33.0,1.487,21.72,24.5,30.4,Safe
32.01,68.33,30.63,0.01,16.15,20.9,22.3,Safe
45.46,84.41,20.27,0.458,18.81,21.9,16.5,Safe
31.69,74.74,44.48,0.112,5.75,19.9,35.5,Watch
51.6,77.62,23.35,0.702,12.87,21.7,25.9,Safe
31.41,67.72,49.86,0.588,22.08,20.9,48.8,Watch
5.68,67.66,43.19,0.193,13.49,28.1,31.5,Safe
38.38,56.73,37.4,0.224,10.19,20.3,27.6,Safe
2.47,72.61,24.64,0.108,24.37,24.2,14.2,Safe
13.21,64.41,35.46,0.119,21.09,20.2,28.3,Safe
21.76,70.54,27.83,1.39,11.47,23.1,23.1,Safe
19.88,65.25,27.57,0.769,18.83,23.9,18.0,Safe
26.82,67.23,44.89,0.075,11.66,17.4,34.0,Safe
19.37,64.3,31.42,0.113,17.09,18.8,19.0,Safe
13.91,66.8,33.52,0.04,19.06,20.1,22.3,Safe
58.13,73.0,45.29,1.574,13.15,19.1,51.2,Watch
24.83,54.87,22.63,0.832,22.45,23.3,15.1,Safe
1.54,53.06,37.84,0.281,23.38,23.7,22.5,Safe
29.59,68.41,37.35,0.413,19.58,19.8,33.0,Safe
18.13,76.52,32.76,0.482,20.48,23.4,33.2,Safe
21.73,78.54,44.89,0.08,9.28,21.7,39.9,Watch
45.66,55.2,48.29,0.955,26.17,22.7,50.7,Watch
28.28,61.78,33.96,0.262,17.45,21.1,26.9,Safe
17.71,53.17,33.68,0.034,12.39,24.5,18.3,Safe
41.69,60.6,35.06,0.177,18.88,27.9,30.2,Safe
52.25,73.98,41.69,0.322,22.47,25.3,37.4,Watch
43.05,64.9,40.04,0.152,21.07,27.2,33.0,Safe
0.0,62.01,26.69,0.42,11.49,18.8,11.5,Safe
18.28,69.36,21.92,0.748,22.55,21.0,13.2,Safe
35.71,58.64,48.48,0.517,17.64,24.7,43.6,Watch
31.34,77.74,27.83,0.36,21.01,27.5,25.6,Safe
30.09,65.06,39.16,0.251,13.19,25.0,26.8,Safe
20.26,61.79,44.85,0.103,24.28,19.9,34.4,Safe
13.92,69.69,29.01,0.212,19.1,21.7,17.6,Safe
65.12,72.51,39.06,0.121,25.13,24.0,39.3,Watch
35.41,77.77,23.24,0.951,8.79,22.5,27.0,Safe
44.63,63.32,49.1,0.832,9.59,20.6,44.0,Watch
35.09,73.69,21.74,0.059,16.56,22.1,14.5,Safe
35.7,65.81,33.15,0.605,26.81,23.0,32.4,Safe
34.07,60.11,36.1,0.425,29.78,19.7,29.4,Safe
18.19,58.79,43.71,1.294,12.67,26.0,37.7,Watch
12.28,56.22,23.63,0.218,18.32,21.7,11.6,Safe
40.79,59.07,33.22,0.448,18.93,22.8,25.0,Safe
37.82,73.93,28.99,0.255,22.31,26.1,22.3,Safe
49.07,70.65,29.36,0.025,23.31,22.6,23.3,Safe
46.03,55.07,43.36,0.017,11.31,25.9,32.7,Safe
22.87,51.03,20.16,0.046,18.39,19.9,10.5,Safe
51.99,56.1,42.47,0.123,5.95,24.3,31.2,Safe
46.48,58.79,44.31,0.105,22.86,25.5,39.0,Watch
45.36,62.57,47.04,0.456,15.97,20.5,37.8,Watch
68.74,74.38,38.81,0.44,10.77,22.5,38.8,Watch
65.66,60.62,30.0,1.244,20.0,22.5,31.9,Safe
45.35,78.44,32.82,0.13,15.78,23.6,32.2,Safe
43.48,51.56,49.09,0.976,25.57,24.4,48.3,Watch
51.22,62.21,46.44,0.332,12.64,20.3,38.5,Watch
26.24,71.28,33.91,0.239,31.34,22.8,32.4,Safe
26.45,71.78,48.29,0.386,23.13,27.8,44.5,Watch
45.1,62.31,44.69,0.425,25.73,26.2,37.9,Watch
22.15,73.01,47.03,0.066,11.83,25.4,40.1,Watch
43.89,71.5,40.49,0.488,28.73,22.4,41.3,Watch
37.35,59.54,45.73,0.452,10.72,29.4,45.2,Watch
22.16,67.52,46.75,2.102,16.74,26.1,48.8,Watch
35.39,70.63,22.76,0.85,25.83,23.1,22.3,Safe
54.58,60.12,48.96,0.404,21.04,23.7,48.1,Watch
36.24,78.55,30.01,0.436,10.57,21.6,29.2,Safe
36.3,58.32,33.2,1.021,24.81,24.2,26.0,Safe
39.93,66.15,43.76,1.196,20.04,24.8,41.3,Watch
41.89,55.0,39.95,0.614,15.5,25.1,39.7,Watch
30.04,65.83,46.79,0.51,8.75,22.5,32.9,Safe
40.25,56.46,32.02,0.041,20.61,18.6,23.8,Safe
19.26,62.65,31.2,0.621,17.02,23.7,22.0,Safe
23.01,52.31,20.95,0.102,18.94,25.1,12.8,Safe
24.93,71.4,33.88,0.29,8.49,20.1,24.2,Safe
42.05,67.85,41.72,0.182,15.49,22.7,38.2,Watch
37.4,73.7,29.04,0.148,20.88,27.0,22.5,Safe
32.98,62.22,33.88,0.13,29.26,19.4,29.1,Safe
45.36,74.07,26.58,0.677,16.77,22.1,23.0,Safe
40.68,65.31,43.18,0.513,26.66,27.5,39.9,Watch
30.65,65.91,21.82,0.259,22.72,23.5,13.3,Safe
19.47,81.91,41.16,0.382,19.4,21.4,45.7,Watch
22.7,61.12,31.37,1.459,11.93,23.0,25.9,Safe
13.0,74.82,21.25,0.177,12.18,25.5,14.1,Safe
37.11,68.84,45.6,0.28,21.71,22.4,44.4,Watch
22.07,60.42,34.63,0.267,14.84,24.8,22.3,Safe
27.57,54.47,37.98,0.962,14.31,23.7,28.2,Safe
33.09,56.74,41.96,0.152,16.92,24.0,31.1,Safe
50.66,74.05,39.65,1.5,17.02,25.0,43.6,Watch
48.93,78.88,41.93,0.127,23.4,22.1,47.2,Watch
34.18,65.73,42.87,0.04,14.97,20.2,34.4,Safe
53.98,66.15,37.67,0.074,22.81,24.4,30.7,Safe
4.81,71.21,30.97,0.194,20.64,22.6,22.7,Safe
63.16,65.59,27.29,0.367,7.96,21.7,22.9,Safe
45.39,73.8,47.09,0.255,19.77,24.6,46.5,Watch
36.54,67.33,49.1,0.165,1.99,26.8,38.2,Watch
21.63,66.08,30.73,0.289,12.63,22.5,23.0,Safe
28.43,59.41,23.37,0.639,20.78,23.0,16.0,Safe
44.14,57.44,26.68,0.639,17.94,19.5,23.5,Safe
44.48,39.73,40.12,0.453,7.39,22.3,28.8,Safe
45.03,74.87,25.19,1.066,11.29,23.7,18.1,Safe
24.07,63.83,43.4,0.312,2.35,22.9,29.4,Safe
21.05,61.8,47.69,0.01,9.94,21.9,34.9,Safe
37.93,49.39,48.91,0.12,21.47,25.2,38.1,Watch
46.55,59.88,20.28,0.139,14.66,23.2,14.8,Safe
35.05,58.83,48.74,0.277,19.02,30.8,40.3,Watch
57.22,58.64,42.21,0.823,18.08,23.6,41.5,Watch
35.5,67.66,22.52,0.637,18.2,14.8,16.2,Safe
34.99,65.98,32.46,0.092,24.14,19.7,20.2,Safe
45.06,54.11,41.0,0.256,16.78,24.6,32.9,Safe
53.29,54.62,48.7,0.377,23.46,21.1,44.6,Watch
14.76,54.6,24.92,1.534,3.14,21.3,19.3,Safe
18.23,79.48,23.83,0.011,24.67,19.3,17.2,Safe
30.3,76.94,34.17,0.218,10.26,21.6,32.1,Safe
82.38,58.18,49.04,1.551,11.56,23.6,56.0,Watch
31.08,49.19,49.14,1.323,13.77,24.2,39.3,Watch
33.17,66.02,26.84,0.141,24.5,19.9,22.6,Safe
44.28,65.38,29.58,0.01,12.66,25.4,19.6,Safe
49.65,67.54,47.24,0.309,14.06,19.4,46.2,Watch
37.55,70.93,42.05,0.706,12.23,24.3,43.0,Watch
52.47,68.61,49.17,0.137,19.53,24.0,49.6,Watch
17.09,56.07,46.79,0.953,22.46,20.2,40.1,Watch
23.51,67.35,26.45,0.142,28.23,19.8,17.6,Safe
52.44,71.83,42.79,0.33,32.4,24.1,49.1,Watch
35.16,59.21,21.46,0.448,21.9,21.3,16.6,Safe
16.06,67.4,44.53,0.148,20.19,22.4,33.8,Safe
15.16,60.58,38.05,0.152,10.7,25.1,28.2,Safe
22.84,80.97,48.68,0.222,29.46,24.4,56.1,Watch
35.03,54.39,48.8,0.631,19.29,20.3,43.3,Watch
42.01,74.25,21.52,0.037,16.27,22.8,13.1,Safe
30.06,51.63,24.82,0.349,20.33,20.2,13.2,Safe
40.77,79.34,34.53,0.396,14.18,25.6,32.2,Safe
28.44,55.87,46.38,0.286,3.97,27.6,30.9,Safe
53.36,66.52,44.43,0.961,21.43,20.5,46.2,Watch
73.28,51.97,48.93,0.322,26.05,22.9,49.2,Watch
29.11,54.2,38.54,0.352,21.34,25.8,27.2,Safe
42.2,72.18,27.7,0.32,17.96,23.1,19.1,Safe
40.98,73.23,20.75,0.448,18.08,24.7,18.2,Safe
37.08,66.91,26.69,0.051,19.03,23.2,18.1,Safe
44.8,70.93,40.26,0.786,18.85,19.8,32.9,Safe
42.18,73.36,47.79,0.015,17.64,23.4,43.5,Watch
27.93,59.53,29.63,0.358,18.15,26.4,19.4,Safe
54.75,53.81,46.27,0.335,27.33,23.9,44.4,Watch
38.02,64.89,31.85,0.082,20.83,27.9,22.6,Safe
29.23,60.38,29.25,0.015,18.63,17.7,22.3,Safe
71.65,68.11,35.27,0.052,21.96,24.1,32.4,Safe
33.26,69.38,33.27,0.111,21.96,21.1,25.5,Safe
38.82,59.55,47.41,0.748,23.68,20.4,43.2,Watch
37.63,70.63,34.05,0.678,13.46,27.0,29.1,Safe
33.05,70.23,28.32,0.023,15.12,22.2,20.3,Safe
41.73,70.79,45.28,0.12,13.12,21.9,37.9,Watch
22.33,61.74,49.96,0.77,22.6,24.0,43.9,Watch
43.95,71.24,39.45,0.095,22.31,16.5,34.3,Safe
8.62,69.16,27.51,1.929,10.36,27.1,23.9,Safe
15.53,70.12,27.16,0.104,20.35,28.7,14.4,Safe
62.39,78.42,21.73,0.47,26.23,25.7,21.7,Safe
16.16,67.62,22.32,0.189,16.59,24.2,12.2,Safe
5.6,60.14,47.45,0.051,19.88,22.4,37.4,Watch
16.53,56.12,22.89,0.103,22.38,19.8,15.5,Safe
61.1,74.02,34.53,0.394,10.08,26.6,31.2,Safe
8.12,67.86,40.94,0.144,18.91,25.7,27.2,Safe
20.66,78.36,45.51,0.324,25.63,24.4,48.6,Watch
13.13,48.76,25.14,0.081,14.44,24.0,16.8,Safe
30.89,72.29,33.13,0.208,22.99,23.9,26.2,Safe
28.46,62.91,27.54,0.251,18.16,21.4,18.8,Safe
27.79,62.17,27.67,0.186,13.95,30.5,18.0,Safe
62.84,58.88,29.12,0.077,17.42,22.1,20.2,Safe
17.01,72.2,37.61,0.217,14.84,21.7,25.6,Safe
33.47,69.91,20.5,0.413,12.67,26.4,11.0,Safe
40.08,55.86,32.26,1.172,16.47,22.9,25.8,Safe
20.3,66.32,25.6,0.545,18.41,22.9,18.6,Safe
42.3,70.65,49.01,0.062,17.0,27.2,44.8,Watch
29.0,66.42,37.48,0.111,16.41,25.0,29.5,Safe
40.61,73.86,46.04,0.029,19.36,25.2,47.2,Watch
33.38,62.68,25.87,0.051,21.19,18.7,23.6,Safe
4.24,46.97,44.3,0.101,11.14,24.2,25.5,Safe
54.59,66.49,32.44,0.078,16.49,20.0,28.3,Safe
66.06,66.45,25.33,0.084,6.16,21.6,19.4,Safe
32.35,67.49,42.84,0.092,17.03,23.5,37.5,Watch
21.53,73.86,42.86,0.125,18.9,22.9,37.6,Watch
57.59,49.38,49.88,0.047,21.42,25.0,43.3,Watch
63.36,63.09,43.43,0.114,18.92,25.3,45.4,Watch
32.47,57.62,24.36,0.408,21.29,25.5,20.2,Safe
31.72,55.34,29.68,0.094,18.39,19.0,21.8,Safe
33.8,64.42,33.55,0.066,13.95,30.1,29.4,Safe
9.88,70.61,23.8,0.025,11.3,22.9,13.4,Safe
30.63,67.41,43.64,0.243,16.42,26.6,36.3,Watch
60.72,59.5,35.8,0.646,13.4,15.5,32.9,Safe
32.47,63.84,48.33,0.021,17.28,22.2,40.6,Watch
19.4,72.44,37.68,0.274,15.05,18.6,29.3,Safe
42.45,70.47,35.69,0.368,20.51,20.4,30.8,Safe
24.99,60.58,22.14,0.314,18.29,23.2,12.9,Safe
34.0,60.06,24.48,0.735,20.68,22.0,22.8,Safe
15.97,51.27,45.49,0.705,20.65,26.9,34.9,Safe
19.45,61.56,49.72,0.021,16.92,28.3,37.5,Watch
46.06,51.11,32.46,0.157,17.29,20.1,23.9,Safe
36.74,81.54,44.3,0.389,21.01,21.5,47.5,Watch
23.36,58.16,38.83,1.066,32.68,19.9,37.7,Watch
36.79,73.87,48.77,0.572,12.07,26.5,44.4,Watch
25.89,79.54,27.14,0.068,18.25,23.5,22.6,Safe
23.24,66.73,36.35,0.115,10.83,23.1,24.2,Safe
52.46,64.2,32.26,0.505,17.87,23.9,23.5,Safe
46.74,54.42,36.25,0.223,13.96,22.1,32.0,Safe
34.68,60.96,28.07,0.277,17.28,20.4,20.2,Safe
37.17,77.83,34.93,0.329,18.93,23.2,39.5,Watch
34.87,67.81,38.74,0.038,15.06,22.2,29.7,Safe
42.31,65.23,22.44,0.678,7.3,24.0,16.7,Safe
23.01,75.5,42.29,0.696,26.55,18.1,47.0,Watch
47.94,70.57,41.2,0.221,23.04,23.6,39.8,Watch
40.3,63.82,46.41,0.345,17.22,20.9,39.7,Watch
31.05,66.73,32.78,0.377,12.63,23.5,19.8,Safe
27.68,58.86,21.85,0.074,18.51,25.7,18.2,Safe
47.62,60.51,33.84,0.042,20.17,21.3,24.9,Safe
32.74,63.35,24.13,0.01,22.62,26.6,22.2,Safe
24.52,69.46,39.42,0.854,23.17,17.8,33.6,Safe
29.23,55.02,21.41,0.148,24.3,27.6,16.4,Safe
46.54,65.61,31.22,0.031,7.55,26.7,23.4,Safe
10.84,61.88,22.49,0.219,16.17,20.3,13.8,Safe
29.67,57.79,20.1,0.028,23.96,20.4,10.0,Safe
51.06,61.92,48.82,0.031,12.46,18.5,41.4,Watch
32.48,46.43,49.88,0.235,25.32,25.8,40.2,Watch
39.09,58.94,36.67,0.249,28.86,22.0,31.6,Safe
51.3,56.2,27.17,0.304,25.15,21.8,20.8,Safe
48.38,62.76,47.33,0.374,21.97,19.6,43.5,Watch
28.4,46.76,47.69,0.386,15.31,28.4,32.9,Safe
33.04,66.53,45.64,0.199,19.69,20.1,37.3,Watch
48.57,72.28,36.33,0.361,9.92,23.1,31.5,Safe
49.09,64.06,22.24,0.127,13.31,23.6,12.5,Safe
33.68,68.99,22.65,0.204,13.74,21.8,11.5,Safe
34.2,60.9,46.9,0.175,18.37,21.2,39.2,Watch
39.02,52.56,46.27,0.14,15.65,21.9,30.7,Safe
55.5,65.01,33.03,0.095,19.57,24.7,27.2,Safe
51.01,70.44,29.84,0.029,23.27,22.0,24.5,Safe
45.4,54.4,39.32,0.247,13.74,27.9,31.6,Safe
18.82,61.28,44.21,0.27,18.89,20.7,34.7,Safe
30.88,63.02,41.95,0.143,15.5,25.3,29.2,Safe
31.67,87.81,38.47,1.303,19.14,17.7,47.1,Watch
56.28,66.79,26.95,0.285,22.12,20.7,23.6,Safe
31.42,49.76,27.88,0.769,23.53,20.6,21.4,Safe
53.8,47.78,41.72,0.295,22.02,19.7,33.2,Safe
26.44,70.84,44.08,0.074,20.48,23.9,37.9,Watch
27.64,84.88,23.48,1.286,9.48,22.7,26.6,Safe
42.22,62.75,25.62,0.758,11.51,16.2,16.4,Safe
58.52,62.27,40.41,0.223,13.05,29.0,33.7,Safe
31.82,68.45,31.67,0.097,20.15,23.5,28.0,Safe
0.0,58.61,36.9,0.088,10.25,23.0,21.4,Safe
11.54,44.65,38.44,0.574,20.03,26.9,24.0,Safe
39.47,73.3,43.29,0.025,19.59,26.0,37.0,Watch
12.88,60.09,44.17,0.356,6.39,22.1,29.4,Safe
22.02,73.4,28.4,0.358,11.47,17.1,21.8,Safe
35.19,58.91,36.24,0.071,24.26,24.7,24.4,Safe
0.0,65.97,23.71,0.427,22.18,20.1,13.0,Safe
29.3,71.84,45.26,0.428,12.9,26.7,42.0,Watch
17.53,73.56,45.36,0.151,11.79,20.7,37.0,Watch
12.51,66.86,28.99,0.231,3.3,21.6,17.8,Safe
22.97,66.47,24.82,0.626,26.83,19.0,19.7,Safe
18.96,69.96,22.1,0.259,18.25,19.2,14.3,Safe
42.04,68.71,37.25,0.337,29.3,22.7,33.1,Safe
52.95,54.67,22.74,0.186,16.85,22.4,13.4,Safe
29.53,54.82,40.42,0.057,19.7,21.6,31.8,Safe
26.06,48.13,40.34,2.187,23.35,29.2,35.2,Watch
28.79,71.13,38.42,0.265,27.83,24.8,34.2,Safe
18.38,61.83,46.3,0.144,21.01,23.0,36.6,Watch
15.67,71.56,31.35,0.438,18.01,14.7,26.1,Safe
10.32,68.23,47.07,0.339,18.17,25.5,36.4,Watch
15.06,56.98,21.11,0.093,11.72,32.0,12.5,Safe
59.48,64.04,23.38,0.733,15.71,22.4,20.8,Safe
24.64,61.36,32.37,0.026,18.31,20.6,21.4,Safe
0.0,60.13,37.82,0.326,26.29,23.5,23.3,Safe
26.19,72.32,20.97,0.227,15.42,18.7,12.7,Safe
11.14,85.09,37.02,0.134,24.38,24.4,39.6,Watch
35.89,73.93,29.22,0.613,17.51,27.5,20.6,Safe
34.27,64.78,46.61,0.374,25.46,21.0,44.6,Watch
35.84,75.08,36.0,0.499,22.06,21.1,39.6,Watch
34.39,78.7,37.64,0.187,21.66,22.8,38.5,Watch
29.41,53.86,48.37,0.999,23.87,21.5,45.1,Watch
13.16,74.8,42.93,0.148,23.0,18.5,35.5,Watch
33.88,71.16,33.15,0.265,24.38,21.8,28.8,Safe
50.28,74.5,34.31,0.949,30.79,21.2,39.4,Watch
62.21,71.51,39.44,0.03,27.7,27.1,34.9,Safe
31.43,63.18,26.01,0.04,20.8,26.5,15.1,Safe
33.06,81.26,22.66,1.802,15.35,27.2,29.2,Safe
42.51,67.72,29.34,1.244,20.2,25.4,30.3,Safe
57.4,61.53,43.35,0.517,6.44,23.6,33.4,Safe
27.71,69.05,27.72,0.232,22.97,20.4,24.1,Safe
45.39,72.78,23.92,0.247,11.64,27.0,10.3,Safe
22.66,65.76,26.57,0.104,24.73,24.0,19.5,Safe
39.95,68.15,40.37,0.198,29.88,19.3,37.8,Watch
49.56,65.71,38.42,0.198,9.29,20.3,28.8,Safe
15.64,59.72,40.65,0.013,17.7,19.2,26.5,Safe
27.12,58.43,29.66,0.211,11.61,16.8,16.8,Safe
49.32,53.78,47.03,0.229,7.63,24.2,36.4,Watch
44.24,77.14,33.55,0.384,17.36,19.3,38.4,Watch
50.54,63.21,35.41,0.254,21.81,20.7,32.2,Safe
47.73,37.58,48.46,0.692,22.53,23.1,44.5,Watch
29.88,68.17,49.38,0.16,18.92,22.4,42.0,Watch
67.99,68.01,39.85,0.185,8.01,20.9,35.6,Watch
37.05,50.07,48.34,0.297,18.74,27.6,36.3,Watch
0.0,58.34,36.25,0.079,9.04,18.4,19.1,Safe
30.76,57.99,29.22,0.175,9.44,18.5,16.5,Safe
27.96,59.06,29.45,0.406,12.02,24.4,20.4,Safe
46.93,74.7,36.77,0.186,24.3,21.1,31.8,Safe
28.23,63.81,38.15,0.83,21.27,21.0,30.1,Safe
51.48,61.58,33.19,0.334,19.94,19.8,28.4,Safe
43.37,73.98,46.51,0.058,12.82,24.0,40.9,Watch
20.0,68.96,32.8,0.234,15.67,23.7,21.2,Safe
32.89,51.07,28.2,0.507,9.78,23.4,15.4,Safe
23.37,60.07,20.24,0.361,26.19,21.3,10.9,Safe
37.77,67.58,49.12,0.758,31.18,20.7,52.6,Watch
23.28,57.53,44.73,0.485,21.34,22.5,36.9,Watch
36.12,81.24,38.47,0.022,22.39,25.9,38.4,Watch
